event,date,player,elo,color,opponent,result,avg_cp_loss,std_cp_loss
SuperGM,2000.03.04,"Anand,V",2769.0,black,"Khalifman,A",draw,14.909090909090908,19.66748375759777
SuperGM,2000.03.05,"Anand,V",2769.0,white,"Leko,P",draw,26.363636363636363,42.08492005300436
SuperGM,2000.03.05,"Leko,P",2725.0,black,"Anand,V",draw,29.857142857142858,49.35419672828114
SuperGM,2000.03.07,"Anand,V",2769.0,white,"Kramnik,V",draw,16.2,31.222214313957085
SuperGM,2000.03.07,"Kramnik,V",2758.0,black,"Anand,V",draw,21.357142857142858,35.19660523982623
SuperGM,2000.03.08,"Shirov,A",2751.0,white,"Anand,V",draw,19.923076923076923,16.466570043396494
SuperGM,2000.03.08,"Anand,V",2769.0,black,"Shirov,A",draw,15.333333333333334,13.906433363335433
SuperGM,2000.03.09,"Anand,V",2769.0,white,"Khalifman,A",won,24.75,29.722676528199813
SuperGM,2000.03.09,"Khalifman,A",2656.0,black,"Anand,V",lost,42.193548387096776,65.86272104075886
SuperGM,2000.03.10,"Kasparov,G",2851.0,white,"Anand,V",draw,22.0,24.770950728625657
